"longitude","latitude","temperature","ndvi","valid_observations"
-117.335098,33.987454,124.32,0.302,3
-117.334794,33.987454,124.73,0.339,3
-117.33449,33.987454,124.87,0.394,3
-117.334186,33.987454,124.75,0.379,3
-117.333881,33.987454,125.14,0.378,3
-117.333577,33.987454,125.54,0.402,3
-117.333273,33.987454,125.84,0.312,3
-117.332968,33.987454,126.32,0.302,3
-117.332664,33.987454,126.94,0.348,3
-117.33236,33.987454,127.44,0.268,3
-117.332056,33.987454,127.61,0.159,3
-117.331751,33.987454,127.36,0.19,3
-117.331447,33.987454,126.69,0.255,3
-117.331143,33.987454,125.65,0.264,3
-117.330839,33.987454,124.12,0.215,3
-117.330534,33.987454,122.44,0.139,3
-117.33023,33.987454,120.67,0.215,3
-117.329926,33.987454,119.99,0.584,3
-117.329622,33.987454,118.66,0.731,3
-117.329317,33.987454,117.57,0.714,3
-117.329013,33.987454,117.05,0.661,3
-117.328709,33.987454,117.32,0.654,3
-117.328404,33.987454,117.96,0.711,3
-117.3281,33.987454,118.43,0.727,3
-117.327796,33.987454,119.04,0.617,3
-117.327492,33.987454,120,0.46,3
-117.327187,33.987454,121.07,0.352,3
-117.326883,33.987454,122.14,0.292,3
-117.326579,33.987454,123.01,0.28,3
-117.326275,33.987454,123.64,0.262,3
-117.32597,33.987454,124.05,0.268,3
-117.325666,33.987454,124.22,0.273,3
-117.325362,33.987454,124.2,0.32,3
-117.325058,33.987454,124.04,0.338,3
-117.324753,33.987454,123.45,0.299,3
-117.324449,33.987454,123.24,0.349,3
-117.324145,33.987454,123.18,0.329,3
-117.32384,33.987454,123.3,0.286,3
-117.323536,33.987454,123.32,0.306,3
-117.323232,33.987454,123.2,0.333,3
-117.322928,33.987454,123.04,0.349,3
-117.322623,33.987454,122.9,0.333,3
-117.322319,33.987454,122.86,0.281,3
-117.322015,33.987454,122.95,0.285,3
-117.321711,33.987454,123.24,0.3,3
-117.321406,33.987454,123.57,0.265,3
-117.321102,33.987454,123.73,0.269,3
-117.320798,33.987454,123.7,0.347,3
-117.320494,33.987454,123.36,0.315,3
-117.320189,33.987454,122.95,0.245,3
-117.319885,33.987454,122.43,0.245,3
-117.319581,33.987454,122.06,0.332,3
-117.319276,33.987454,121.82,0.304,3
-117.318972,33.987454,122.26,0.237,3
-117.318668,33.987454,123.05,0.193,3
-117.318364,33.987454,124.12,0.175,3
-117.318059,33.987454,125.63,0.171,3
-117.317755,33.987454,127.18,0.175,3
-117.317451,33.987454,128.49,0.191,3
-117.317147,33.987454,129.81,0.213,3
-117.316842,33.987454,131.07,0.205,3
-117.316538,33.987454,132.13,0.196,3
-117.316234,33.987454,132.59,0.208,3
-117.31593,33.987454,132.48,0.224,3
-117.315625,33.987454,131.83,0.232,3
-117.315321,33.987454,131.23,0.241,3
-117.315017,33.987454,129.83,0.226,3
-117.314712,33.987454,126.16,0.19,4
-117.314408,33.987454,125.05,0.175,4
-117.314104,33.987454,126.47,0.165,3
-117.3138,33.987454,129.03,0.156,3
-117.340271,33.987149,125.68,0.097,3
-117.339967,33.987149,125.38,0.294,3
-117.339662,33.987149,122.93,0.254,4
-117.339358,33.987149,122.74,0.282,4
-117.339054,33.987149,124.51,0.155,3
-117.33875,33.987149,123.84,0.158,3
-117.338445,33.987149,123.23,0.232,3
-117.338141,33.987149,122.88,0.268,3
-117.337837,33.987149,122.62,0.211,3
