"longitude","latitude","temperature","ndvi","valid_observations"
-117.246278,32.899026,88.88,0.6,1
-117.245974,32.899026,87.82,0.658,1
-117.24567,32.899026,89.45,0.684,1
-117.245367,32.899026,90.01,0.685,1
-117.245063,32.899026,89.49,0.589,2
-117.244759,32.899026,89.69,0.552,2
-117.244456,32.899026,90.52,0.593,2
-117.244152,32.899026,92.05,0.507,2
-117.243848,32.899026,94.48,0.325,2
-117.243545,32.899026,96.16,0.236,2
-117.243241,32.899026,96.6,0.233,3
-117.242937,32.899026,97.09,0.22,3
-117.242633,32.899026,97.16,0.253,3
-117.24233,32.899026,97.06,0.359,4
-117.242026,32.899026,97.22,0.404,4
-117.241722,32.899026,97.46,0.292,4
-117.241419,32.899026,97.62,0.271,4
-117.241115,32.899026,97.63,0.384,4
-117.240811,32.899026,97.38,0.416,4
-117.240508,32.899026,96.95,0.408,4
-117.240204,32.899026,96.16,0.339,4
-117.2399,32.899026,94.84,0.248,4
-117.239596,32.899026,93.54,0.127,4
-117.239293,32.899026,92.31,0.195,4
-117.238989,32.899026,90.51,0.426,4
-117.238685,32.899026,88.93,0.548,4
-117.238382,32.899026,87.78,0.572,4
-117.238078,32.899026,87.7,0.571,4
-117.237774,32.899026,88.7,0.513,4
-117.237471,32.899026,90.29,0.415,4
-117.237167,32.899026,92.15,0.373,4
-117.236863,32.899026,93.12,0.418,4
-117.236559,32.899026,93.35,0.444,4
-117.236256,32.899026,93.3,0.406,4
-117.235952,32.899026,92.93,0.382,4
-117.235648,32.899026,92.8,0.443,4
-117.235345,32.899026,92.85,0.579,4
-117.235041,32.899026,92.96,0.535,4
-117.234737,32.899026,92.71,0.395,4
-117.234434,32.899026,92.59,0.342,4
-117.23413,32.899026,92.64,0.363,4
-117.233826,32.899026,92.98,0.432,4
-117.233522,32.899026,93.13,0.515,4
-117.233219,32.899026,92.78,0.53,4
-117.232915,32.899026,92.22,0.474,4
-117.232611,32.899026,91.97,0.428,4
-117.232308,32.899026,92.29,0.409,4
-117.232004,32.899026,93.02,0.37,4
-117.2317,32.899026,93.91,0.322,4
-117.231397,32.899026,94.99,0.377,4
-117.231093,32.899026,96.48,0.512,4
-117.230789,32.899026,98.08,0.414,4
-117.230485,32.899026,98.77,0.284,4
-117.230182,32.899026,99.16,0.348,4
-117.229878,32.899026,99.67,0.366,4
-117.229574,32.899026,100.28,0.359,4
-117.229271,32.899026,101.08,0.362,4
-117.228967,32.899026,102.08,0.259,4
-117.228663,32.899026,102.77,0.288,4
-117.22836,32.899026,103.21,0.237,4
-117.228056,32.899026,102.84,0.289,4
-117.227752,32.899026,101.26,0.447,4
-117.227448,32.899026,99.31,0.602,4
-117.227145,32.899026,98.27,0.666,4
-117.226841,32.899026,98.37,0.618,4
-117.226537,32.899026,98.98,0.513,4
-117.226234,32.899026,99.46,0.428,4
-117.22593,32.899026,99.41,0.387,4
-117.225626,32.899026,98.88,0.348,4
-117.225323,32.899026,98.44,0.279,4
-117.225019,32.899026,98.04,0.239,4
